name_1,name_2,region,country,year,type,producer,volume,price_sek,price_pr_litre_sek,apk,alcohol,product_num,score
Moreau,Chardonnay,NA,France,2018,White wine,J.MOREAU & FILS - Boisset La Famille des Grands Vins,750,99,132,0.0946969696969697,12.5,75700,91.25
Crotasc Bianco,NA,NA,Italy,NA,White wine,Mamete Prevostini,750,127,169.33,0.0708675367625347,12,74374,NaN
Corte Di Cama,Sforzato di Valtellina,Lombardiet,Italy,2013,Red wine,Mamete Prevostini,750,398,530.67,0.0292083592439746,15.5,74274,NaN
Black Stallion,Los Carneros Pinot Noir,Kalifornien,US,2016,Red wine,Black Stallion Estate Winery,750,209,278.67,0.05203287042021028,14.5,75121,89.24074074074075
Black Stallion,Cabernet Sauvignon Limited Release,Kalifornien,US,2011,Red wine,Black Stallion Estate Winery,750,969,1292,0.011222910216718266,14.5,75159,89.24074074074075
Godelia,Godello Doña Blanca,Kastilien-León,Spain,2016,White wine,Bodegas Godelia,750,155,206.67,0.065321527072144,13.5,75921,87.5
Black Stallion Napa Valley,Chardonnay,Kalifornien,US,2017,White wine,Black Stallion Estate Winery,750,199,265.33,0.05464892775034862,14.5,75360,NaN
Godelia,Selección Mencía,Kastilien-León,Spain,2009,Red wine,Bodegas Godelia,750,249,332,0.045180722891566265,15,75579,87.5
Libamus,NA,Kastilien-León,Spain,2012,Red wine,Bodegas Godelia,500,195,390,0.038461538461538464,15,75191,NaN
Godelia,Selección Godello,Kastilien-León,Spain,2012,White wine,Bodegas Godelia,750,219,292,0.04794520547945205,14,75583,87.5
Godelia,Mencía,Kastilien-León,Spain,2012,Red wine,Bodegas Godelia,750,165,220,0.0659090909090909,14.5,75929,87.5
Recioto Classico,I Castei,Venetien,Italy,2012,Red wine,Castellani Michele & Figli,500,219,438,0.0319634703196347,14,74052,NaN
Barbera d'Asti,Cascina Vigna,Piemonte,Italy,2016,Red wine,Cascina Vigna,750,139,185.33,0.07823881724491447,14.5,75856,87.85833333333333
Barbera d'Asti Superiore,Cascina Vigna,Piemonte,Italy,2015,Red wine,Cascina Vigna,750,189,252,0.05952380952380952,15,73351,88.009009009009
Costera,Cannonau di Sardegna,Sardinien,Italy,2015,Red wine,Argiolas,750,195,260,0.05384615384615385,14,75387,87
Marimar Estate Mas Cavalls,Dôna Margarita Vineyard Pinot Noir,Kalifornien,US,2014,Red wine,Marimar Estate,750,415,553.33,0.026204977138416494,14.5,75453,NaN
AA Orbus,100% Syrah,Katalonien,Spain,2013,Red wine,Alta Alella,750,359,478.67,0.028203146217644724,13.5,75631,NaN
Reserva Real,NA,Katalonien,Spain,2012,Red wine,Miguel Torres SA,750,2499,3332,0.004351740696278511,14.5,75313,89
Eins Zwei Dry,Pinot Noir Rosé,Rheingau,Germany,2018,Rosé wine,Weingut Leitz,750,109,145.33,0.0825707011628707,12,75396,NaN
Maison Rijckaert,Viré Clessé L´Epinet,Bourgogne,France,2017,White wine,Maison Rijckaert,750,239,318.67,0.04079455235823893,13,75893,NaN
Maison Rijckaert,Arbois En Paradis Vieilles Vignes,Jura,France,2017,White wine,Maison Rijckaert,750,239,318.67,0.04236357360278658,13.5,75012,NaN
Maison Rijckaert Côtes du Jura,Les Sarres Savagnin,Jura,France,2016,White wine,Maison Rijckaert,750,279,372,0.03494623655913978,13,75013,NaN
Carlisle,Papera Ranch Zinfandel,Kalifornien,US,2014,Red wine,Carlisle Winery,750,489,652,0.023006134969325152,15,75183,92.23333333333333
Chablis,Grand Cru Les Clos Clotilde Davenne,Bourgogne,France,2013,White wine,Clotilde Davenne,750,599,798.67,0.016903101406087622,13.5,75088,90.33614864864865
Reichsrat von Buhl,Spätburgunder Trocken,Pfalz,Germany,2014,Red wine,Weingut Reichsrat von Buhl,750,159,212,0.0589622641509434,12.5,75644,87
Pousio,Tinto,Alentejo,Portugal,2013,Red wine,Herdade do Monte da Ribeira,750,99,132,0.10227272727272728,13.5,78114,NaN
Barossa Valley Estate,NA,South Australia,Australia,2012,Red wine,Barossa Valley Estate,750,139,185.33,0.07554092699508984,14,75865,87
Chateauneuf-du-Pape Piedlong,Vignobles Brunier,Rhonedalen,France,2012,Red wine,Vignobles Brunier,750,469,625.33,0.02318775686437561,14.5,75061,NaN
Skövde Vit,Symphonie d'Oc,Languedoc-Roussillon,France,2014,White wine,Fontesole,750,92,122.67,0.10597538110377436,13,75784,NaN
Amarone della Valpolicella,Conte Gastone,Venetien,Italy,2015,Red wine,Massimago S.S.Agr.,750,389,518.67,0.03084813079607458,16,71707,90.01967213114754
Roquette & Cazes,NA,Douro,Portugal,2014,Red wine,Roquette & Cazes,750,209,278.67,0.05203287042021028,14.5,2553,NaN
Picpoulet de Pinet,NA,Languedoc-Roussillon,France,2018,White wine,GFA Font Mars,750,139,185.33,0.07014514649544056,13,75330,NaN
Château la Varière,Cabernet Sauvignon,Loiredalen,France,2015,Red wine,Château la Varière,750,149,198.67,0.0679518800020134,13.5,2122,87
Rully Premier Cru,Les Grésigny,Bourgogne,France,2016,White wine,Domaine J. F. Protheau,750,219,292,0.04452054794520548,13,5613,88
Alva,NA,Rhonedalen,France,2016,Red wine,Domaine de Calet,750,79,105.33,0.13766258425899555,14.5,2288,88.81818181818181
Château Haut-Cazevert,NA,Bordeaux,France,2015,White wine,Château Haut Cazevert,750,101,134.67,0.10024504343951883,13.5,4006,NaN
