name_1,name_2,region,country,year,type,producer,volume,price_sek,price_pr_litre_sek,apk,alcohol,product_num,score,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,url
Barone Montalto,Rosso,Sicilien,Italy,2014,Red wine,Barone Montalto,750,66,88,0.142045455,12.5,74007,87,8,7,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=74007
Barone Montalto,Bianco,Sicilien,Italy,2014,White wine,Barone Montalto,750,66,88,0.136363636,12,70406,87,8,7,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=70406
Wiseguy,Shiraz,Western Australia,Australia,2012,Red wine,Brygon Reserve Wines,750,159,212,0.070754717,15,70328,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70328
Almarada,Malbec,Cuyo,Argentina,2012,Red wine,Bodega Sumun,750,139,185.33,0.075540927,14,73400,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73400
Almarada,Chardonnay,Cuyo,Argentina,2012,White wine,Bodega Sumun,750,139,185.33,0.070145146,13,72156,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=72156
Château de Campuget,La Sommelière Syrah,Rhonedalen,France,2012,Red wine,Château de Campuget,750,159,212,0.063679245,13.5,72803,87,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=72803
Muros de Melgaço,Alvarinho,Vinho Verde,Portugal,2016,White wine,Anselmo Mendes,750,199,265.33,0.047111145,12.5,70333,87,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70333
Minervois,Los Gals Rouge,Languedoc-Roussillon,France,2012,Red wine,Domaine Vordy Mayrannes,750,278,370.67,0.037769445,14,74008,88,8,6,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=74008
Collita Roja,Pardas,Katalonien,Spain,2014,Red wine,Celler Pardas,750,219,292,0.042808219,12.5,95462,NaN,8,8,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=95462
Rust en Vrede,Estate,Western Cape,South Africa,2011,Red wine,Rust en Vrede Estate,1500,655,436.67,0.034350883,15,70826,89.11111111,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70826
Delas Saint Esprit,Côtes du Rhône,Rhonedalen,France,2017,Red wine,Delas,1500,219,146,0.089041096,13,71832,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71832
Amicone,NA,Venetien,Italy,2014,Red wine,Cantine di Ora,3000,299,99.67,0.145480084,14.5,74325,NaN,9,8,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=74325
Amarone della Valpolicella,Mezzo Monte,Venetien,Italy,2013,Red wine,Antiche Terre Venete,750,279,372,0.040322581,15,74734,90.01967213,10,8,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=74734
Lioco Estero,Chardonnay,Kalifornien,US,2015,White wine,Lioco,750,349,465.33,0.029011669,13.5,96145,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=96145
LIOCO Pinot Noir,Saveria Vineyard Santa Cruz Mountains,Kalifornien,US,2016,Red wine,Lioco,750,495,660,0.018939394,12.5,95463,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=95463
Dolina,Rosé,NA,Serbia,2017,Rosé wine,Bacina Vino,750,96,128,0.10546875,13.5,74426,89.28571429,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74426
The Foundation Stone,NA,Western Cape,South Africa,2016,White wine,Rickety Bridge Private Cellar,750,145,193.33,0.067242539,13,2019,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2019
Benedikt Baltes,Bischofsberg VDP Erste Lage,Franken,Germany,2015,Red wine,Benedikt Baltes,750,399,532,0.02443609,13,95467,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=95467
Casa Bauzá Blend,NA,Valle Central,Chile,2016,Red wine,Casa Bauzá,750,249,332,0.040662651,13.5,95468,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=95468
Zlatan Plavac,Hvar,Primorska,Croatia,2013,Red wine,Zlatan Otok,750,229,305.33,0.045852029,14,95469,NaN,7,8,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=95469
De Pietri,Lambrusco di Sorbara,Emilia-Romagna,Italy,2017,Red wine,AZ AGR DE PIETRI MATTEO,750,79,105.33,0.090192728,9.5,2002,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2002
Belsito,Frappato,Sicilien,Italy,2016,Red wine,Terre di Giurfo Srl,750,99,132,0.102272727,13.5,2006,88.66666667,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2006
Canaletto,Sauvignon Blanc,Friuli-Venezia-Giulia,Italy,2018,White wine,Casa Girelli,750,89,118.67,0.10533412,12.5,6241,87,8,9,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=6241
Frankland Estate,Chardonnay,Western Australia,Australia,2017,White wine,Frankland Estate,750,99,132,0.098484848,13,6335,87,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=6335
Ti Amo,Zinfandel di Puglia Organic,Apulien,Italy,2017,Red wine,Etike International Srl,750,109,145.33,0.092892039,13.5,70561,87,8,7,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=70561
Dogliani Superiore,Fabrizio Fabiani Of Azienda Conzia,Piemonte,Italy,2016,Red wine,Fabrizio Fabiani Of Azienda Conzia,750,159,212,0.063679245,13.5,6377,89,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=6377
Conde Valdemar,Gran Reserva,Rioja,Spain,2001,Red wine,Bodegas Valdemar,1500,599,399.33,0.033806626,13.5,90193,87,8,8,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=90193
Cortes de Cima,Tinto,Alentejo,Portugal,2014,Red wine,Cortes de Cima,750,199,265.33,0.052764482,14,72410,86.35,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=72410
Cortes de Cima,Incógnito Tinto,Alentejo,Portugal,2012,Red wine,Cortes de Cima,750,650,866.67,0.016153784,14,70264,86.35,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70264
Zola,Chenin Blanc Chardonnay Sauvignon Blanc,Western Cape,South Africa,2018,White wine,Du Toitskloof Cellar,3000,199,66.33,0.195989748,13,2549,88,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2549
Birichino,Jurassic Park Vineyard Chenin Blanc,Kalifornien,US,2014,White wine,Birichino Wines,750,249,332,0.039156627,13,70807,88.66666667,8,10,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=70807
