nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgått;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
1198703;9053880;11987;Herrljunga Musteri;Mousserande Äppelmust;15.00;;330.00;45.46;2018-03-01;0;Alkoholfritt;Cider;;Flaska;;Västra Götalands län;Sverige;Herrljunga Cider AB;Great Brands AB;2017;;0.00%;TSS;Säsongsdrycker;0;0;;0;Äpplen av sorterna ingrid marie, santana och aroma.
7317201;9053893;73172;Callet;;229.00;;750.00;305.33;2017-12-06;0;Rött vin;;;Flaska;;Balearerna;Spanien;Can Majoral;Happy Dog Dryckeshandel AB;2016;;13.00%;BS;Övrigt sortiment;1;0;;0;
7586601;9053896;75866;Geoff Merrill;Jacko's Shiraz;179.00;;750.00;238.67;2017-12-06;0;Rött vin;;;Flaska;;South Australia;Australien;Geoff Merrill;Terrific Wines AB;2012;;14.50%;BS;Övrigt sortiment;0;0;;0;
7929001;9053897;79290;Priorat;Torroja;398.00;;750.00;530.67;2017-12-06;0;Rött vin;;;Flaska;;Katalonien;Spanien;TERROIR AL LIMIT S.L.;Theis Vine AB;2017;;14.00%;BS;Övrigt sortiment;0;0;;0;
7691701;9053898;76917;Priorat;Pedra de Guix Blanco;798.00;;750.00;1064.00;2017-12-06;0;Vitt vin;;;Flaska;;Katalonien;Spanien;TERROIR AL LIMIT S.L.;Theis Vine AB;2014;;13.00%;BS;Övrigt sortiment;0;0;;0;
7337601;9053901;73376;Paixar;Mencía;358.00;;750.00;477.33;2017-12-06;0;Rött vin;;;Flaska;;Kastilien-León;Spanien;Bodegas y vinedos Paixar S.L.;Theis Vine AB;2013;;14.00%;BS;Övrigt sortiment;0;0;;0;
7610709;9053903;76107;The Taste of Rioja;;921.00;;4500.00;204.67;2017-12-06;0;Blandlådor vin;;;6 fl à 750 ml;;Rioja;Spanien;Bodegas San Prudencio S.A.;Malchamax AB;;;13.00%;BS;Övrigt sortiment;0;0;;0;
8293801;9053904;82938;The Holy Spirit of Sweden Rock;Rhum Solera 15 Years;499.00;;700.00;712.86;2017-12-06;0;Rom;Mörk rom;;Flaska;Skruvkapsyl;;Guyana;Götene Vin & Spritfabrik AB;Brands For Fans Sweden AB;;;40.00%;FS;Ordinarie sortiment;0;0;;0;
646601;905397;6466;Yalumba;Organic Viognier;149.00;;750.00;198.67;2015-03-02;0;Vitt vin;Druvigt & Blommigt;;Flaska;Skruvkapsyl;South Australia;Australien;Yalumba;Vinunic AB;2018;;13.00%;BS;Övrigt sortiment;1;0;;0;Viognier.
293401;905403;2934;Julius Kayser;Grüner Veltliner;59.00;;750.00;78.67;2015-03-02;0;Vitt vin;Friskt & Fruktigt;;Flaska;Skruvkapsyl;Pannon;Ungern;St Ursula;Brandpartners AB;2014;;12.00%;FSB;Ordinarie sortiment;0;0;;0;Grüner veltliner.
