nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgått;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
7232201;19710263;72322;Pommery;Brut Royal Rosé;439.00;;750.00;585.33;2019-01-21;0;Mousserande vin;Rosé;;Flaska;Champagnekork-natur;Champagne;Frankrike;Pommery;Domaine Wines Sweden AB;;;12.50%;BS;Övrigt sortiment;0;0;;0;
7240601;19710264;72406;Pierre Péters;L'Esprit;549.00;;750.00;732.00;2019-01-21;0;Mousserande vin;Torrt vitt;;Flaska;Champagnekork-natur;Champagne;Frankrike;Pierre Péters;The WineAgency Sweden AB;2013;;12.00%;BS;Övrigt sortiment;0;0;;0;
9234001;19710271;92340;MarMar;Von Winning Riesling;879.00;;750.00;1172.00;2019-03-21;0;Vitt vin;;;Flaska;Naturkork;Pfalz;Tyskland;Von Winning;Intermondi AB;2016;;12.50%;TSE;Små partier;0;0;;0;
1127915;19710273;11279;Captain Lawrence;Powder Dreams;59.90;1.00;473.00;126.64;2019-04-05;0;Öl;Ale brittisk-amerikansk stil;India pale ale (IPA);Burk;;;USA;Captain Lawrence Brewing Company;Galatea AB;;;7.50%;TSE;Små partier;0;0;;0;Kornmalt, havre och vete, humle av sorterna simcoe och ella samt lupulinpulver från humle av sorten mosaic.
1800602;19710284;18006;Cidre Brut;Cidre Séhédic;55.00;;375.00;146.67;2019-03-08;0;Cider;Torr och halvtorr;;Flaska;;;Frankrike;Cidre Séhédic;Riktig Cider;;;5.50%;TSE;Små partier;1;0;;0;Cideräpplen av bland andra sorterna c'hwero briz, c'huero gwen, prat yeod, dous moen, belein, guilevic, kermerien, dous coet, stang ru, peau de chien och locard vert.
1100001;19710290;11000;Aecht Schlenkerla;Kräusen;28.90;;500.00;57.80;2019-06-07;0;Öl;Ljus lager;Dortmunder och helles;Flaska;;;Tyskland;Schlenkerla;Galatea AB;;;4.50%;TSE;Små partier;0;0;;0;
1184703;19710295;11847;Two Way Street;BrewDog;29.50;;330.00;89.39;2019-03-08;0;Öl;Ale brittisk-amerikansk stil;India pale ale (IPA);Flaska;;Skottland;Storbritannien;BrewDog;AB Brygghuset Finn;;;5.50%;TSE;Små partier;0;0;;0;Kornmalt och humle.
1128312;19710311;11283;Evil Twin Brewing;IPA Kolata;59.10;1.00;475.00;124.42;2019-04-05;0;Öl;Ale brittisk-amerikansk stil;India pale ale (IPA);Burk;;;USA;Evil Twin Brewing;Beer Me Sweden AB;2018;;8.00%;TSE;Små partier;0;0;;0;Kornmalt, laktos, samt ananas- och kokosnötsextrakt.
1800701;19710312;18007;Basa Jaun;Bordatto;85.00;;750.00;113.33;2019-03-22;0;Cider;Torr och halvtorr;;Flaska;;;Frankrike;Domaine Bordatto;Riktig Cider;;;6.50%;TSE;Små partier;0;0;;0;Cideräpplen av sorterna ondo motxa, eri sagarra, anisa, gordin xuri, minxuri, azau sagarra, eztirotxia, geza xuria, mandoburua och patzulua.
9234101;19710321;92341;Atanasius;Gut Oggau;279.00;;750.00;372.00;2019-05-17;0;Rött vin;Fruktigt & Smakrikt;;Flaska;Korkpropp;Weinland Österreich;Österrike;Gut Oggau;Veritabel Vin AB;2017;;12.00%;TSE;Små partier;1;0;;0;Zweigelt och blaufränkisch.
1128803;19710324;11288;Brooklyn;Rosé de Ville;34.80;;355.00;98.03;2019-05-17;0;Öl;Syrlig öl;Berliner weisse;Flaska;;;USA;Brooklyn Brewery;Carlsberg Sverige AB;;;5.80%;TSE;Små partier;0;0;;0;
9234201;19710336;92342;Cau d'en Genís;Alta Alella;189.00;;750.00;252.00;2019-06-07;0;Vitt vin;Friskt & Fruktigt;;Flaska;;Katalonien;Spanien;Alta Alella;The Wine and Spirits Collective Sweden AB;2018;;12.50%;TSE;Små partier;1;0;;0;Pansa blanca.
1152003;19710344;11520;Eskilstuna Ölkultur;Björköl;24.90;;330.00;75.46;2019-04-26;0;Öl;Ale tysk stil;;Flaska;;Södermanlands län;Sverige;Eskilstuna Ölkultur;Eskilstuna Ölkultur AB;;;4.80%;TSE;Små partier;1;0;;0;Kornmalt, humle och björklöv.
9234501;19710345;92345;Capsigrany;Alta Alella;279.00;;750.00;372.00;2019-06-07;0;Mousserande vin;Rosé;;Flaska;;Cava;Spanien;Alta Alella;The Wine and Spirits Collective Sweden AB;2017;;12.00%;TSE;Små partier;1;0;;0;Xarello rosado.
8143801;197241;81438;Ayala;Brut Nature;429.00;;750.00;572.00;2006-02-01;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Ayala;Arvid Nordquist Vin och Sprithandel;;;12.00%;BS;Övrigt sortiment;0;0;;0;
7145001;197457;71450;Lismore;Special 5 Years;373.00;;700.00;532.86;2006-03-01;0;Whisky;Blended whisky;;Flaska;;Skottland;Storbritannien;William Lundie & Co;Clydesdale AB;;;40.00%;BS;Övrigt sortiment;0;0;;0;
267801;1975;2678;Faustino I;Gran Reserva;189.00;;750.00;252.00;1991-09-02;0;Rött vin;Kryddigt & Mustigt;;Flaska;Natur;Rioja;Spanien;Faustino Martínez;Bibendum;2006;;13.50%;FS;Ordinarie sortiment;0;0;;0;Tempranillo.
8268101;197537;82681;Château de Parenchère;;129.00;;750.00;172.00;2006-03-01;0;Rött vin;;;Flaska;;Bordeaux;Frankrike;Bordeauxslott;Apricot AB;2016;;14.00%;BS;Övrigt sortiment;0;0;;0;
8142201;197581;81422;Henriot;Brut Rosé;579.00;;750.00;772.00;2006-03-01;0;Mousserande vin;Rosé;;Flaska;;Champagne;Frankrike;Henriot;Prime Wine Sweden AB;;;12.00%;BS;Övrigt sortiment;0;0;;0;
8146601;197584;81466;Henriot;Souverain Brut;429.00;;750.00;572.00;2006-03-01;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Henriot;Prime Wine Sweden AB;;;12.00%;BS;Övrigt sortiment;0;0;;0;
8147301;197644;81473;Perica Viña Olagosa;Gran Reserva;174.00;;750.00;232.00;2006-03-01;0;Rött vin;;;Flaska;Naturkork;Rioja;Spanien;Bodegas Perica;Lancel AB;2006;;13.00%;BS;Övrigt sortiment;0;0;;0;
143509;197945;1435;Carlsberg Export;;249.00;;5000.00;49.80;2006-04-01;0;Öl;Ljus lager;Internationell stil;Engångsfat;;;Internationellt märke;Carlsberg Sverige AB;Carlsberg Sverige AB;;;5.00%;BS;Övrigt sortiment;0;0;;0;
7145103;198105;71451;Windhoek;Lager;38.80;;340.00;114.12;2006-03-01;0;Öl;Ljus lager;Internationell stil;Flaska;;;Namibia;Namibia Breweries;World Beer Trading KB;;;4.00%;BS;Övrigt sortiment;0;0;;0;
3701703;1981718;37017;Spisbryggeriets;Pil & Grim;24.90;;330.00;75.46;2017-06-01;0;Öl;Ale brittisk-amerikansk stil;Golden/Blond ale;Flaska;Kron;Värmlands län;Sverige;Spishyllan;Spishyllan AB;;;4.70%;TSLS;Lokalt och småskaligt;1;0;;0;Kornmalt och humle.
8050201;1981771;80502;Le Gin;de Christian Drouin;449.00;;700.00;641.43;2017-05-02;0;Gin och Genever;Gin;;Flaska;;Normandie;Frankrike;Christian Drouin;Enjoy Wine & Spirits AB;;;42.00%;BS;Övrigt sortiment;0;0;;0;
8280401;1981772;82804;Cidre Bouché;Brut de Normandie;79.00;;750.00;105.33;2017-05-02;0;Cider;Torr och halvtorr;;Flaska;;;Frankrike;Christian Drouin;Enjoy Wine & Spirits AB;;;4.50%;BS;Övrigt sortiment;0;0;;0;
7552201;1981774;75522;Domaine Piquemal;Les Terres Grillées Rose;120.00;;750.00;160.00;2017-05-03;0;Rosévin;;;Flaska;;Languedoc-Roussillon;Frankrike;Domaine Piquemal;Samplex AB;2016;;13.00%;BS;Övrigt sortiment;0;0;;0;
7156701;1981775;71567;Grand Mayne;Sauvignon;105.00;;750.00;140.00;2017-05-04;0;Vitt vin;;;Flaska;;Bordeaux;Frankrike;Domaine du Grand Mayne;Wineshare Sweden Stig Calderon;2015;;13.50%;BS;Övrigt sortiment;0;0;;0;
8071602;1981777;80716;The West Winds;Captain's Cut;645.00;;500.00;1290.00;2017-05-03;0;Gin och Genever;Gin;;Flaska;Twist off;;Australien;The Tailor Made Spirits Company;Cask Kompaniet AB;;;63.00%;BS;Övrigt sortiment;0;0;;0;
7493101;1981778;74931;Kleine Zalze;Vineyard Selection Chenin Blanc;109.00;;750.00;145.33;2017-05-03;0;Vitt vin;;;Flaska;;Western Cape;Sydafrika;Kleine Zalze;Winemarket Nordic AB;2016;;13.50%;BS;Övrigt sortiment;0;0;;0;
7525101;1981779;75251;Kleine Zalze;Vintage Brut Method Cap Classic;199.00;;750.00;265.33;2017-05-03;0;Mousserande vin;Torrt vitt;;Flaska;;Western Cape;Sydafrika;Kleine Zalze;Winemarket Nordic AB;2013;;12.00%;BS;Övrigt sortiment;0;0;;0;
8035501;1981780;80355;The West Winds;The Sabre;473.00;;700.00;675.71;2017-05-03;0;Gin och Genever;Gin;;Flaska;;;Australien;The Tailor Made Spirits Company;Cask Kompaniet AB;;;40.00%;BS;Övrigt sortiment;0;0;;0;
7958701;1981781;79587;Bolla;Prosecco Organic;99.00;;750.00;132.00;2017-05-08;0;Mousserande vin;Torrt vitt;;Flaska;Natur;Venetien;Italien;Bolla;Domaine Wines Sweden AB;;;11.00%;FS;Ordinarie sortiment;1;0;;0;Glera.
8419501;1981782;84195;The West Winds;The Cutlass;582.00;;700.00;831.43;2017-05-03;0;Gin och Genever;Gin;;Flaska;;;Australien;The Tailor Made Spirits Company;Cask Kompaniet AB;;;50.00%;BS;Övrigt sortiment;0;0;;0;
268501;1982;2685;Señorío de los Llanos;Reserva;57.00;;750.00;76.00;1993-04-26;0;Rött vin;Kryddigt & Mustigt;;Flaska;Natur;Kastilien-La Mancha;Spanien;Bodegas Vinartis;Altia Sweden AB;2013;;13.00%;BS;Övrigt sortiment;0;0;;0;Tempranillo.
9268301;1982037;92683;Goldberg;Riesling;299.00;;750.00;398.67;2017-10-06;0;Vitt vin;Friskt & Fruktigt;;Flaska;Natur;Mosel;Tyskland;Van Volxem;Prime Wine Sweden AB;2015;;12.00%;TSE;Små partier;0;0;;0;Riesling.
230801;19826;2308;A Mano;Primitivo;129.00;;750.00;172.00;1999-11-01;0;Rött vin;;;Flaska;;Apulien;Italien;A Mano;Amka Vinimport AB;2016;;14.00%;BS;Övrigt sortiment;0;0;;0;
268601;1983;2686;Torres Gran Sangre de Toro;Reserva;89.00;;750.00;118.67;1990-10-01;0;Rött vin;Kryddigt & Mustigt;;Flaska;Natur;Katalonien;Spanien;Miguel Torres;The Wine and Spirits Collective Sweden AB;2014;;14.00%;FS;Ordinarie sortiment;0;0;;0;Garnacha, cariñena och syrah.
227001;19842;2270;Le Bistro;Tina;79.00;;750.00;105.33;2000-02-07;0;Rött vin;Mjukt & Bärigt;;Flaska;Skruvkapsyl;;Frankrike;Les Domaines Auriol;Giertz Vinimport AB;2016;;12.50%;FS;Ordinarie sortiment;1;0;;0;Merlot, carignan och syrah.
179202;198447;1792;Breezer Tropical Watermelon;;19.90;;275.00;72.36;2006-04-01;0;Blanddrycker;;;Flaska;;;Internationellt märke;Bacardi;Bacardi AB;;;4.00%;FS;Ordinarie sortiment;0;0;;0;
179302;198457;1793;Breezer Lime;;19.90;;275.00;72.36;2006-04-01;0;Blanddrycker;;;Flaska;;;Internationellt märke;Bacardi;Bacardi AB;;;4.00%;FS;Ordinarie sortiment;0;0;;0;
179402;198460;1794;Breezer Tropical Pineapple;;19.90;;275.00;72.36;2006-04-01;0;Blanddrycker;;;Flaska;;;Internationellt märke;Bacardi;Bacardi AB;;;4.00%;FS;Ordinarie sortiment;0;0;;0;
745108;198502;7451;Roodeberg;;259.00;;3000.00;86.33;2006-02-01;0;Rött vin;Fruktigt & Smakrikt;;Box;Vridtapp;Western Cape;Sydafrika;KWV;Arvid Nordquist Vin och Sprithandel;2017;;14.00%;FS;Ordinarie sortiment;0;0;;0;Cabernet sauvignon, merlot och shiraz.
613908;198535;6139;Ramos;Reserva;259.00;;3000.00;86.33;2006-02-01;0;Rött vin;Fruktigt & Smakrikt;;Box;Vingtapp;Alentejo;Portugal;João Portugal Ramos;Hermansson & Co AB;2017;;14.00%;FS;Ordinarie sortiment;0;0;;0;Trincadeira, aragonez och syrah.
8156201;198779;81562;Château Musar;;329.00;;750.00;438.67;2006-02-01;0;Vitt vin;;;Flaska;;;Libanon;Gaston Hochar;Arvid Nordquist Vin och Sprithandel;2009;;12.00%;BS;Övrigt sortiment;0;0;;0;
234502;198848;2345;Masi;Amarone Costasera;179.00;;375.00;477.33;2006-04-01;0;Rött vin;;;Flaska;Natur;Venetien;Italien;Masi;Vinunic AB;2010;;15.00%;BS;Övrigt sortiment;0;0;;0;
8153008;198951;81530;Piper-Heidsieck;Brut;2498.00;;3000.00;832.67;2006-04-01;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Charles Heidsieck;Edrington Sweden AB;;;12.00%;BS;Övrigt sortiment;0;0;;0;
620201;199247;6202;Hunter's;Sauvignon Blanc;116.00;;750.00;154.67;2006-02-17;0;Vitt vin;Friskt & Fruktigt;;Flaska;Skruvkapsyl;Marlborough;Nya Zeeland;Hunter's Wines;Hjo Grosshandel AB;2017;;13.00%;FS;Ordinarie sortiment;0;0;;0;Sauvignon blanc.
2225706;199504;22257;Gustave Lorentz;Riesling Réserve;209.00;;1500.00;139.33;2006-04-01;0;Vitt vin;Druvigt & Blommigt;;Magnum;Plast;Alsace;Frankrike;Gustave Lorentz;Bibendum;2018;;12.50%;FS;Ordinarie sortiment;0;0;;0;Riesling.
8167901;199671;81679;Hendrick's;Gin;449.00;;700.00;641.43;2006-04-01;0;Gin och Genever;Gin;;Flaska;;;Storbritannien;William Grant & Sons;Nigab;;;41.40%;FS;Ordinarie sortiment;0;0;;0;
735001;19982;7350;Pierre Peters;Cuvée de Réserve;359.00;;750.00;478.67;1999-10-04;0;Mousserande vin;Torrt vitt;;Flaska;Champagnekork-natur;Champagne;Frankrike;Pierre Peters;The WineAgency Sweden AB;;;12.00%;FS;Ordinarie sortiment;0;0;;0;Chardonnay.
735101;19983;7351;Delamotte;Brut;425.00;;750.00;566.67;1999-10-04;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Delamotte;Johan Lidby Vinhandel AB;;;12.00%;BS;Övrigt sortiment;0;0;;0;Chardonnay 50%, pinot noir 30%, pinot meunier 20%
1162501;19983881;11625;Blomma;Wicked Weed;99.90;;500.00;199.80;2019-04-05;0;Öl;Syrlig öl;Övrig syrlig öl;Flaska;;;USA;Wicked Weed Brewing;AB Wicked Wine Sweden;;;7.10%;TSE;Små partier;0;0;;0;
1111903;19983904;11119;Dark Age Coffee;Wicked Weed;87.90;;375.00;234.40;2019-04-05;0;Öl;Porter och stout;Imperial porter och stout;Flaska;;;USA;Wicked Weed Brewing;AB Wicked Wine Sweden;;;11.80%;TSE;Små partier;0;0;;0;
7660801;19984259;76608;Barbaresco;Tenuta San Mauro;499.00;;750.00;665.33;2019-01-23;0;Rött vin;;;Flaska;;Piemonte;Italien;Tenuta San Mauro;Vinonista AB;2007;;14.00%;BS;Övrigt sortiment;0;0;;0;
7250601;19984260;72506;Elios Modus Bibendi;Nero d'Avola;280.00;;750.00;373.33;2019-01-21;0;Rött vin;;;Flaska;;Sicilien;Italien;Azienda Agricola Saverio Adamo;En halvpall AB;2017;;13.00%;BS;Övrigt sortiment;1;0;;0;
7245904;19984261;72459;Da Luca;Prosecco;45.00;;200.00;225.00;2019-01-23;0;Mousserande vin;Torrt vitt;;1 flaska à 200ml;;Venetien;Italien;Accolade Wines;Mondo Wine Sweden AB;;;11.00%;BS;Övrigt sortiment;0;0;;0;
7552601;19984263;75526;Da Luca;Pinot Grigio;89.00;;750.00;118.67;2019-01-23;0;Vitt vin;;;Flaska;;Sicilien;Italien;Accolade Wines;Mondo Wine Sweden AB;2017;;12.50%;BS;Övrigt sortiment;0;0;;0;
7211301;19984264;72113;Nashville Stories;;109.00;;750.00;145.33;2019-04-01;0;Rött vin;;;Flaska;;Kalifornien;USA;Spring Wine & Spirits;Spendrups Bryggeri AB;;;14.50%;BS;Övrigt sortiment;0;0;;0;
8160001;19984272;81600;Mauritius;La Bourdonnais 5 Years;599.00;;700.00;855.71;2019-01-21;0;Rom;Mörk rom;;Flaska;;;Mauritius;Bristol Spirits;Clydesdale AB;;;43.00%;BS;Övrigt sortiment;0;0;;0;
7271702;19984273;72717;William Hardy;Limestone Coast Chardonnay;59.00;;500.00;118.00;2019-01-21;0;Vitt vin;Fylligt & Smakrikt;;Flaska;;South Australia;Australien;Hardys Wines;Mondo Wine Sweden AB;2017;;13.50%;BS;Övrigt sortiment;0;0;;0;Chardonnay.
7702002;19984274;77020;William Hardy;Langhorne Creek Shiraz;59.00;;500.00;118.00;2019-01-21;0;Rött vin;Fruktigt & Smakrikt;;Flaska;;;Australien;Hardys Wines;Mondo Wine Sweden AB;2018;;14.00%;BS;Övrigt sortiment;0;0;;0;Shiraz.
8282301;19984277;82823;Egly-Ouriet;Ratafia de Champagne;459.00;;700.00;655.71;2019-01-21;0;Aperitif och dessert;Övrigt starkvin;;Flaska;Naturkork;Champagne;Frankrike;Egly-Ouriet;The WineAgency Sweden AB;;;17.00%;BS;Övrigt sortiment;0;0;;0;
7292701;19984404;72927;Gisèle Devavry;Cuvée Achille Brut;404.00;;750.00;538.67;2019-01-22;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Gisèle Devavry;VinTillMat i Väst AB;;;12.00%;BS;Övrigt sortiment;0;0;;0;
7045601;19984405;70456;G. Devavry;Pinot Noir Grand Cru Brut;359.00;;750.00;478.67;2019-01-22;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Gisèle Devavry;VinTillMat i Väst AB;;;12.00%;BS;Övrigt sortiment;0;0;;0;
7034901;19984406;70349;G.Devavry;Tresor de Cave 1982 Brut;999.00;;750.00;1332.00;2019-01-22;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Gisèle Devavry;VinTillMat i Väst AB;1982;;12.00%;BS;Övrigt sortiment;0;0;;0;
7244001;19984407;72440;G. Devavry;Trésor de Cave Millisime 1989;899.00;;750.00;1198.67;2019-01-22;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Gisèle Devavry;VinTillMat i Väst AB;1989;;12.00%;BS;Övrigt sortiment;0;0;;0;
7241609;19984408;72416;Vin & Natur Valette 1;;2496.00;;4500.00;554.67;2019-01-28;0;Vitt vin;;;6 fl à 750 ml;;;Frankrike;Domaine Valette;Vin & Natur Malmö AB;;;14.00%;BS;Övrigt sortiment;0;0;;0;
7272901;19984412;72729;G. Devavry;Blanc de Blancs Premier Cru;359.00;;750.00;478.67;2019-01-28;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Gisèle Devavry;VinTillMat i Väst AB;;;12.00%;BS;Övrigt sortiment;0;0;;0;
8049101;19984423;80491;Carsebridge;Sherry Cask no 26 35 Years;1289.00;;700.00;1841.43;2019-02-04;0;Whisky;Grainwhisky;;Flaska;;Skottland;Storbritannien;Meadowside Blending Co Ltd;Clydesdale AB;1982;;47.30%;BS;Övrigt sortiment;0;0;;0;
413601;19985;4136;Château Coucheroy;;129.00;;750.00;172.00;1999-09-06;0;Vitt vin;Fylligt & Smakrikt;;Flaska;Natur;Bordeaux;Frankrike;André Lurton;The Wine Team Global AB;2014;;12.50%;FS;Ordinarie sortiment;0;0;;0;Sauvignon blanc.
8163801;199987;81638;Ga-Jol Original;Gul Salt Lakrids;235.00;;700.00;335.71;2006-04-01;0;Likör;Annan likör;;Flaska;;;Nederländerna;United Drinks;Chris-Wine AB;;;30.00%;BS;Övrigt sortiment;0;0;;0;
102;2;1;Renat;;109.00;;350.00;311.43;1993-10-01;0;Vodka och Brännvin;Vodka;;Flaska;;;Internationellt märke;Pernod Ricard;Pernod Ricard Sweden AB;;;37.50%;FS;Ordinarie sortiment;0;0;;0;Säd.
701;20;7;Hallands Fläder;;249.00;;700.00;355.71;1993-10-01;0;Akvavit och Kryddat brännvin;Kryddat brännvin;;Flaska;;;Sverige;Altia;Altia Sweden AB;;;38.00%;FS;Ordinarie sortiment;0;0;;0;
8157301;200147;81573;Dupont Calvados;Réserve;479.00;;700.00;684.29;2006-04-01;0;Calvados;;;Flaska;;Normandie;Frankrike;Famille Dupont;Cask Sweden AB;;;42.00%;BS;Övrigt sortiment;0;0;;0;
7155401;200150;71554;Crozes-Hermitage;Cuvée Alberic Bouvet;229.00;;750.00;305.33;2006-04-01;0;Rött vin;;;Flaska;;Rhonedalen;Frankrike;Gilles Robin;janake wine group AB;2015;;13.50%;BS;Övrigt sortiment;1;0;;0;
562101;20026;5621;Laroche;Bourgogne Réserve;119.00;;750.00;158.67;2000-03-06;0;Vitt vin;Fylligt & Smakrikt;;Flaska;Skruvkapsyl;Bourgogne;Frankrike;Laroche;Spendrups Bryggeri AB;2018;;12.50%;FS;Ordinarie sortiment;0;0;;0;Chardonnay.
500301;20034;5003;Beaujolais-Villages;;89.00;;750.00;118.67;1999-09-06;0;Rött vin;Mjukt & Bärigt;;Flaska;Skruvkapsyl;Bourgogne;Frankrike;Georges Duboeuf;Valid Wines Sweden AB;2017;;13.00%;FS;Ordinarie sortiment;0;0;;0;Gamay.
825801;20037;8258;Fonseca;Bin 27;179.00;;750.00;238.67;1999-10-04;0;Aperitif och dessert;Portvin;Ruby;Flaska;;Douro;Portugal;Fonseca Guimaraens;Johan Lidby Vinhandel AB;;;20.00%;BS;Övrigt sortiment;0;0;;0;
208101;2004212;2081;Org de Rac;Reserve Cabernet Sauvignon;139.00;;750.00;185.33;2017-09-01;0;Rött vin;;;Flaska;Natur;Western Cape;Sydafrika;Org de Rac;Vinia Sweden AB;2016;;14.00%;BS;Övrigt sortiment;1;0;;0;
7958901;2004281;79589;Les Terres Grillées;Withe;135.00;;750.00;180.00;2017-05-04;0;Vitt vin;;;Flaska;;Languedoc-Roussillon;Frankrike;Domaine Piquemal;Samplex AB;2014;;13.50%;BS;Övrigt sortiment;0;0;;0;
7579701;2004282;75797;Domaine Piquemal;Tradition;139.00;;750.00;185.33;2017-05-04;0;Rött vin;;;Flaska;;Languedoc-Roussillon;Frankrike;Domaine Piquemal;Samplex AB;2015;;14.00%;BS;Övrigt sortiment;0;0;;0;
7623801;2004285;76238;Mount Eden;Pinot Noir;629.00;;750.00;838.67;2017-08-18;0;Rött vin;;;Flaska;;Kalifornien;USA;Mount Eden;Johan Lidby Vinhandel AB;2015;;13.50%;BS;Övrigt sortiment;0;0;;0;
7795601;2004288;77956;Mount Eden;Chardonnay;629.00;;750.00;838.67;2017-08-18;0;Vitt vin;;;Flaska;;Kalifornien;USA;Mount Eden;Johan Lidby Vinhandel AB;2015;;14.00%;BS;Övrigt sortiment;0;0;;0;
271001;2005;2710;Marqués de Arienzo;Reserva;135.00;;750.00;180.00;1991-04-15;0;Rött vin;Kryddigt & Mustigt;;Flaska;Natur;Rioja;Spanien;Marqués de Riscal;Nigab;2012;;14.00%;FS;Ordinarie sortiment;0;0;;0;Tempranillo, graciano och mazuelo.
271002;2006;2710;Marqués de Arienzo;Reserva;75.00;;375.00;200.00;1990-09-01;0;Rött vin;Kryddigt & Mustigt;;Flaska;Natur;Rioja;Spanien;Marqués de Riscal;Nigab;2012;;13.50%;FS;Ordinarie sortiment;0;0;;0;Tempranillo, graciano och mazuelo.
8170702;200712;81707;Dorato;Vino Passito Dolce;142.00;;500.00;284.00;2006-04-01;0;Vitt vin;Sött;;Flaska;;;Italien;Gioacchino Garofoli;Carovin AB;2013;;12.00%;BS;Övrigt sortiment;0;0;;0;
7292801;20128698;72928;Barolo Villero;Riserva;531.00;;750.00;708.00;2019-02-25;0;Rött vin;;;Flaska;Naturkork;Piemonte;Italien;Franco Molino;Vinoliv Import AB;2011;;14.50%;BS;Övrigt sortiment;0;0;;0;
7581301;20128699;75813;Langhe;Nebbiolo;198.00;;750.00;264.00;2019-02-12;0;Rött vin;;;Flaska;Naturkork;Piemonte;Italien;Franco Molino;Vinoliv Import AB;2015;;14.50%;BS;Övrigt sortiment;0;0;;0;
7050101;20128700;70501;Langhe;Favorita;164.00;;750.00;218.67;2019-02-12;0;Vitt vin;;;Flaska;Naturkork;Piemonte;Italien;Franco Molino;Vinoliv Import AB;2017;;13.00%;BS;Övrigt sortiment;0;0;;0;
8051301;20128839;80513;Secret Orkney;12 Years;997.00;;700.00;1424.29;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Meadowside Blending Co Ltd;Clydesdale AB;2005;;54.80%;BS;Övrigt sortiment;0;0;;0;
8332001;20128842;83320;Tomatin;Cask No HL15287 23 Years;1459.00;;700.00;2084.29;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;1994;;46.10%;BS;Övrigt sortiment;0;0;;0;
8256001;20128843;82560;Tormore;Sherry Finished Cask No HL15351 29 Years;1859.00;;700.00;2655.71;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;1988;;44.90%;BS;Övrigt sortiment;0;0;;0;
8313201;20128844;83132;Ardmore;Cask No HL15370 20 Years;1369.00;;700.00;1955.71;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;1997;;54.10%;BS;Övrigt sortiment;0;0;;0;
8496401;20128845;84964;Auchroisk;Cask No HL15396 24 Years;1489.00;;700.00;2127.14;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;1994;;48.30%;BS;Övrigt sortiment;0;0;;0;
8162801;20128846;81628;Benrinnes;Sherry Cask No 15438 16 Years;1189.00;;700.00;1698.57;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;2002;;55.10%;BS;Övrigt sortiment;0;0;;0;
8307101;20128847;83071;Tamdhu;Cask No HL15369 20 Years;1359.00;;700.00;1941.43;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;1998;;55.80%;BS;Övrigt sortiment;0;0;;0;
7657301;20128848;76573;Macduff;Cask No HL15366 21 Years;1398.00;;700.00;1997.14;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;1997;;54.40%;BS;Övrigt sortiment;0;0;;0;
8261701;20128849;82617;Laphroaig;Cask No HL15534 13 Years;1659.00;;700.00;2370.00;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;2005;;52.50%;BS;Övrigt sortiment;0;0;;0;
7580401;20128850;75804;Laphroaig;Cask No HL15530 18 Years;2178.00;;700.00;3111.43;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;2000;;48.80%;BS;Övrigt sortiment;0;0;;0;
8316901;20128851;83169;Hector Macbeth;;1398.00;;700.00;1997.14;2019-02-04;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;1997;;53.60%;BS;Övrigt sortiment;0;0;;0;
