"","Artikelid","Namn","Namn2","Prisinklmoms","Volymiml","PrisPerLiter","Varugrupp","Typ","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Argang","Alkoholhalt","Ekologisk","Etiskt","EtisktEtikett","Koscher","RavarorBeskrivning","APK"
"64",10104359,"AIX","Rosé",289,1500,192.67,"Rosévin","","Magnum","","Provence","Frankrike","SRL Maison Saint Aix",2017,"13.00%",0,0,"",0,"",0.0674728810920226
"65",10104360,"Ferra","Soave Classico",149,750,198.67,"Vitt vin","","Flaska","","Venetien","Italien","Guerrieri Rizzardi",2014,"13.00%",0,0,"",0,"",0.0654351437056425
"66",10104362,"Chateau Maucoil","Côtes du Rhône Villages Blanc",156,750,208,"Vitt vin","","Flaska","","Rhonedalen","Frankrike","Ch. Maucoil",2016,"12.50%",1,0,"",0,"",0.0600961538461538
"67",10104363,"Chateau Maucoil","Côtes du Rhône Villages Rouge",156,750,208,"Rött vin","","Flaska","","Rhonedalen","Frankrike","Ch. Maucoil",2014,"13.50%",1,0,"",0,"",0.0649038461538462
"68",10104365,"Blue de Mer","Bernard Magrez",812,3000,270.67,"Rosévin","","Flaska","","Languedoc-Roussillon","Frankrike","Bernard Magrez",2016,"12.50%",0,0,"",0,"",0.0461816972697381
"69",10104541,"Lioco","Chardonnay",229,750,305.33,"Vitt vin","","Flaska","","Kalifornien","USA","Lioco",2016,"13.50%",0,0,"",0,"",0.0442144564896997
"70",10104542,"Lioco","Laguna Pinot Noir",395,750,526.67,"Rött vin","","Flaska","","Kalifornien","USA","Lioco",2015,"13.00%",0,0,"",0,"",0.0246833880798223
"71",10104543,"Lioco","Sativa Carignan",339,750,452,"Rött vin","","Flaska","","Kalifornien","USA","Lioco",2015,"12.50%",0,0,"",0,"",0.0276548672566372
"72",10104546,"Farmers Market","Organic",79,750,105.33,"Rött vin","Kryddigt & Mustigt","Flaska","","","Italien","Winepartners Nordic AB",NA,"14.00%",1,0,"",0,"Huvudsakligen negroamaro och primitivo.",0.132915598594892
"73",10104548,"Ruffino","Chianti Superiore",129,750,172,"Rött vin","","Flaska","","Toscana","Italien","Ruffino",2015,"13.50%",0,0,"",0,"",0.0784883720930233
"74",1010726,"Rånäs Slott","Ricossa Piemonte Barbera",139,750,185.33,"Rött vin","Mjukt & Bärigt","Flaska","","Piemonte","Italien","MGM Mondo del Vino",2014,"13.50%",0,0,"",0,"Barbera.",0.0728430367452652
"75",1010813,"Rånäs Slott","Ricossa Roero Arneis",129,750,172,"Vitt vin","Friskt & Fruktigt","Flaska","","Piemonte","Italien","MGM Mondo del Vino",2017,"13.00%",0,0,"",0,"Arneis.",0.0755813953488372
"76",1010911,"Langhe","Arneis Cordero di Montezemolo",226,750,301.33,"Vitt vin","","Flaska","","Piemonte","Italien","Cordero di Montezemolo",2017,"13.50%",0,0,"",0,"",0.044801380546245
"77",1010925,"Langhe","Nebbiolo Cordero di Montezemolo",259,750,345.33,"Rött vin","","Flaska","","Piemonte","Italien","Cordero di Montezemolo",2015,"14.00%",0,0,"",0,"",0.0405409318622767
"78",1010934,"Barolo Monfalletto","Cordero di Montezemolo",479,750,638.67,"Rött vin","","Flaska","","Piemonte","Italien","Cordero di Montezemolo",2012,"15.00%",0,0,"",0,"",0.0234863074827376
"79",1010966,"Barolo","Cordero di Montezemolo",719,750,958.67,"Rött vin","","Flaska","","Piemonte","Italien","Cordero di Montezemolo",2012,"14.50%",0,0,"",0,"",0.015125121261748
"80",1011021,"Vigna del Convento","",175,750,233.33,"Rött vin","","Flaska","","Abruzzerna","Italien","Valle Reale",2011,"13.00%",1,0,"",0,"",0.0557150816440235
"81",1011573,"Oinoz","Prestigio",79,750,105.33,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Kastilien-León","Spanien","Agricultura y Bodega Renacimiento SL",2009,"15.00%",0,0,"",0,"Tempranillo.",0.142409569923099
"82",10117,"Gewurztraminer","Furstentum Vieilles Vignes Grand Cru",334,750,445.33,"Vitt vin","","Flaska","","Alsace","Frankrike","Domaine Paul Blanck",2012,"13.00%",0,0,"",0,"",0.0291918352682281
"83",1012152,"Barone Montalto","Rosso",66,750,88,"Rött vin","","Flaska","","Sicilien","Italien","Barone Montalto",2014,"12.50%",0,0,"",0,"",0.142045454545455
"84",1012158,"Barone Montalto","Bianco",66,750,88,"Vitt vin","","Flaska","","Sicilien","Italien","Barone Montalto",2014,"12.00%",0,0,"",0,"",0.136363636363636
"85",1012161,"Wiseguy","Shiraz",159,750,212,"Rött vin","","Flaska","","Western Australia","Australien","Brygon Reserve Wines",2012,"15.00%",0,0,"",0,"",0.0707547169811321
"86",1012174,"Almarada","Malbec",139,750,185.33,"Rött vin","","Flaska","","Cuyo","Argentina","Bodega Sumun",2012,"14.00%",0,0,"",0,"",0.0755409269950898
"87",1012177,"Almarada","Chardonnay",139,750,185.33,"Vitt vin","","Flaska","","Cuyo","Argentina","Bodega Sumun",2012,"13.00%",0,0,"",0,"",0.0701451464954406
"88",1012219,"Prima Edition Aquavit","Jacob Felländer",399,500,798,"Akvavit och Kryddat brännvin","Akvavit","Flaska","","","Sverige","Altia Sweden AB",NA,"38.00%",1,0,"",0,"",0.0476190476190476
"89",1012232,"Château de Campuget","La Sommelière Syrah",159,750,212,"Rött vin","","Flaska","","Rhonedalen","Frankrike","Château de Campuget",2012,"13.50%",0,0,"",0,"",0.0636792452830189
"90",1012235,"Muros de Melgaço","Alvarinho",199,750,265.33,"Vitt vin","","Flaska","","Vinho Verde","Portugal","Anselmo Mendes",2016,"12.50%",0,0,"",0,"",0.0471111446123695
"91",1012243,"Minervois","Los Gals Rouge",278,750,370.67,"Rött vin","","Flaska","","Languedoc-Roussillon","Frankrike","Domaine Vordy Mayrannes",2012,"14.00%",0,0,"",0,"",0.0377694445193838
"92",10123977,"Collita Roja","Pardas",219,750,292,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Katalonien","Spanien","Celler Pardas",2014,"12.50%",1,0,"",0,"Sumoll.",0.0428082191780822
"93",1012571,"Rust en Vrede","Estate",655,1500,436.67,"Rött vin","","Magnum","","Western Cape","Sydafrika","Rust en Vrede Estate",2011,"15.00%",0,0,"",0,"",0.0343508828176884
"94",1012612,"Misal","Prestige Extra Brut",249,750,332,"Mousserande vin","Torrt vitt","Flaska","","Primorska","Kroatien","Dordano Persuric",NA,"12.00%",0,0,"",0,"",0.036144578313253
"95",1013212,"Delas Saint Esprit","Côtes du Rhône",219,1500,146,"Rött vin","","Magnum","","Rhonedalen","Frankrike","Delas",2017,"13.00%",0,0,"",0,"",0.089041095890411
"96",1013215,"Amicone","",299,3000,99.67,"Rött vin","Fruktigt & Smakrikt","Box","Vingtapp","Venetien","Italien","Cantine di Ora",2014,"14.50%",0,0,"",0,"Corvina, rondinella och molinara.",0.145480084278118
"97",1013219,"Amarone della Valpolicella","Mezzo Monte",279,750,372,"Rött vin","","Flaska","","Venetien","Italien","Antiche Terre Venete",2013,"15.00%",1,0,"",0,"",0.0403225806451613
"98",10134240,"Lioco Estero","Chardonnay",349,750,465.33,"Vitt vin","Fylligt & Smakrikt","Flaska","Naturkork","Kalifornien","USA","Lioco",2015,"13.50%",0,0,"",0,"Chardonnay.",0.0290116691380311
"99",10134308,"LIOCO Pinot Noir","Saveria Vineyard Santa Cruz Mountains",495,750,660,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Kalifornien","USA","Lioco",2016,"12.50%",0,0,"",0,"Pinot noir.",0.0189393939393939
