product_name,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,alchohol
Cesarini Sforza Cuvée Brut Riserva,8,9,0,0,2,12
Faudot Crémant du Jura Brut,7,10,0,0,1,11.5
Argento Reserva Malbec 2013,8,6,5,0,0,14
Kinn Svartekunst F.E.D.I.R.E.S.P 2016,10,6,0,7,0,10
Fetzer Valley Oaks Zinfandel 2017,8,7,7,0,0,13.5
Sieur D'Arques Première Bulle Brut 2015,6,8,0,0,2,12
The Crossings Sauvignon Blanc 2018,6,9,0,0,1,11.5
Baladin Wayan,8,10,0,2,0,5.8
Masi Bonacosta Valpolicella Classico 2017,6,8,3,0,0,12
Masi Bonacosta Valpolicella Classico 2017,5,9,6,0,0,12
Baladin Mielika,9,7,0,8,0,9
Einstök Icelandic White Ale,5,6,0,5,0,5.2
Einstök Icelandic Toasted Porter,10,5,0,4,0,6
Einstök Icelandic Pale Ale,8,8,0,5,0,5.6
Einstök Ôlgerd Islandic Doppelbock,8,6,0,6,0,6.7
Lenz Moser Prestige Trockenbeerenauslese 2015,10,9,0,0,10,9
Palm Steenbrugge Tripel,9,7,0,8,0,8.7
Canaletto Chianti 2017,8,9,6,0,0,12.5
Medalla Real Cabernet Sauvignon 2012,8,0,8,0,0,14
Wagner-Stempel Siefersheimer Heerkretz Riesling Trocken GG 2017,9,10,0,0,1,13
Casetta Barolo Villalta 2012,9,9,7,0,0,13.5
Müstique Riesling Kabinett 2017,5,8,0,0,4,8.5
Schouskjelleren Empress of India,5,7,0,6,0,6.5
Esencia Rural Pampaneo Tempranillo Natural 2016,7,7,6,0,0,13.5
Lindeman's Bin 65 Chardonnay 2018,7,7,0,0,2,13.5
Lindeman's Bin 65 Chardonnay 2017,7,7,0,0,1,13.5
Lindeman's Bin 65 Chardonnay 2017,7,7,0,0,2,13.5
Pol Roger Brut Vintage 2012,9,10,0,0,2,12.5
Clan! Destino,6,8,0,5,0,5
Camillo Donati Trebbiano 2017,6,7,0,0,1,10.5
Smalhans rødvin 2017,7,7,6,0,0,12.5
Penfolds Koonunga Hill Chardonnay 2017,8,7,0,0,1,13
Roche Fleurie Vouvray 2017,6,8,0,0,4,11.5
Casillero del Diablo Cabernet Sauvignon 2017,7,8,7,0,0,12.5
Casillero del Diablo Cabernet Sauvignon 2017,7,8,7,0,0,12.5
Lenz Moser Prestige Beerenauslese 2015,10,8,0,0,10,10
Barranco Oscuro Rubaiyat 2013,9,7,8,0,0,15
Barranco Oscuro Garnata 2012,8,7,6,0,0,15
Barranco Oscuro Brut Nature 2015,4,9,0,0,2,12
Ariyanas Tinto de Ensamblaje 2013,7,7,6,0,0,13.5
Ariyanas David Tinto Dulce 2017,8,6,4,0,0,12.5
Peach Canei,0,0,0,0,0,7
Santa Carolina Cabernet Sauvignon Reserva 2017,8,8,8,0,0,13
Santa Rita 120 Cabernet Sauvignon 2016,8,8,8,0,0,13
Ch. de Segries 2015,9,9,8,0,0,14.5
Nottage Hill Cabernet Sauvignon Shiraz 2017,8,8,7,0,0,14
Van Volxem Saar Riesling 2016,6,9,0,0,1,12
Baileys Original Irish Cream,0,0,0,0,0,17
Baileys Original Irish Cream,0,0,0,0,0,17
Baileys Original Irish Cream,0,0,0,0,0,17
Dalzocchio Pinot Nero 2013,7,7,6,0,0,12.5
Roagna Barolo Pira Vecchie Viti 2012,8,8,9,0,0,13.5
Greywacke Pinot Noir 2016,8,8,5,0,0,13.5
Villa Antinori 2015,8,8,8,0,0,13.5
